 2.84163780e-07 -1.10204930e-07 3.42781560e-07
 4.99756420e-07 -9.29243170e-08 3.74724920e-07
 7.82093030e-07 -6.61906230e-08 3.91221420e-07
 1.12062920e-06 -3.17394710e-08 3.87685450e-07
 1.49821530e-06 7.02084170e-09 3.61281620e-07
 1.89253480e-06 4.77154880e-08 3.11232010e-07
 2.28227530e-06 8.98915720e-08 2.37495910e-07
 2.64085770e-06 1.31888850e-07 1.43295270e-07
 2.94296800e-06 1.72401390e-07 3.42410470e-08
 3.16959040e-06 2.10893280e-07 -8.30724290e-08
 3.31191540e-06 2.46804600e-07 -2.02237020e-07
 3.37549500e-06 2.78905590e-07 -3.19033350e-07
 3.36626160e-06 3.08483180e-07 -4.31528630e-07
 3.28945860e-06 3.35961120e-07 -5.40015260e-07
 3.14631350e-06 3.59439300e-07 -6.46423190e-07
 2.93255060e-06 3.73903930e-07 -7.54601390e-07
 2.63578140e-06 3.69923100e-07 -8.73971770e-07
 2.24162640e-06 3.31837210e-07 -1.01774870e-06
 1.72364030e-06 2.35561220e-07 -1.21532530e-06
 1.02862430e-06 3.46023370e-08 -1.53148050e-06
 5.71144980e-08 -3.60115710e-07 -2.09308950e-06
 -1.37020390e-06 -1.11235840e-06 -3.14065550e-06
 -3.59143610e-06 -2.52380530e-06 -5.11616870e-06
 -7.23957240e-06 -5.16540790e-06 -8.84052220e-06
 -1.34960400e-05 -1.01184500e-05 -1.58404110e-05
 -2.45799270e-05 -1.94024940e-05 -2.89538730e-05
 -4.46814300e-05 -3.67579670e-05 -5.34453430e-05
 -8.15807650e-05 -6.89307560e-05 -9.88254830e-05
 -1.49336180e-04 -1.27148900e-04 -1.81005420e-04
 -2.71680470e-04 -2.26967490e-04 -3.22136560e-04
 -4.83776360e-04 -3.84839430e-04 -5.45457530e-04
 -8.29841420e-04 -6.13883780e-04 -8.68088220e-04
 -1.35693280e-03 -9.21816100e-04 -1.29633870e-03
 -2.10630290e-03 -1.30868520e-03 -1.82197350e-03
 -3.10356190e-03 -1.76490510e-03 -2.42150970e-03
 -4.35368340e-03 -2.27977200e-03 -3.07024550e-03
 -5.85173070e-03 -2.84947570e-03 -3.75298640e-03
 -7.59252860e-03 -3.46933630e-03 -4.45477620e-03
 -9.56428240e-03 -4.12610270e-03 -5.15519690e-03
 -1.17411760e-02 -4.81695590e-03 -5.85341410e-03
 -1.41035990e-02 -5.56466170e-03 -6.58242540e-03
 -1.66462270e-02 -6.38382000e-03 -7.36581020e-03
 -1.93541720e-02 -7.28120000e-03 -8.22197650e-03
 -2.21857390e-02 -8.23156910e-03 -9.12986600e-03
 -2.50650920e-02 -9.20157510e-03 -1.00513900e-02
 -2.78895390e-02 -1.01482870e-02 -1.09405450e-02
 -3.05172090e-02 -1.10605930e-02 -1.17911620e-02
 -3.27652800e-02 -1.19374640e-02 -1.26085050e-02
 -3.43724860e-02 -1.28183850e-02 -1.34264890e-02
 -3.49694680e-02 -1.37232150e-02 -1.42469310e-02
 -3.40053590e-02 -1.46351240e-02 -1.50118320e-02
 -3.07394360e-02 -1.56035270e-02 -1.56968680e-02
 -2.43827140e-02 -1.66402810e-02 -1.62304900e-02
 -1.40268740e-02 -1.77098420e-02 -1.64883450e-02
 1.14440960e-03 -1.88678600e-02 -1.64140930e-02
 2.10887850e-02 -2.00979450e-02 -1.59436180e-02
 4.45556750e-02 -2.11184810e-02 -1.49330610e-02
 7.03293530e-02 -2.18720850e-02 -1.34521530e-02
 9.67097650e-02 -2.24591900e-02 -1.17032880e-02
 1.18578500e-01 -2.24703870e-02 -9.86408810e-03
 1.32277800e-01 -2.17654520e-02 -8.25872370e-03
 1.39833600e-01 -2.10098660e-02 -6.98769330e-03
 1.42514300e-01 -2.01900300e-02 -5.71889900e-03
 1.37730300e-01 -1.86113490e-02 -4.35511540e-03
 1.24810100e-01 -1.68580390e-02 -3.30287890e-03
 1.08855100e-01 -1.59567410e-02 -2.47419930e-03
 9.31614710e-02 -1.50737010e-02 -1.29186230e-03
 7.63152840e-02 -1.32970480e-02 1.35227350e-04
 5.77223150e-02 -1.15236350e-02 1.22765980e-03
 3.94228700e-02 -1.02808780e-02 2.11634280e-03
 2.22181960e-02 -8.54871240e-03 3.11224440e-03
 6.08059530e-03 -6.32278950e-03 3.81942750e-03
 -7.67470430e-03 -4.79281880e-03 3.89993960e-03
 -1.77788400e-02 -4.04183750e-03 3.80193260e-03
 -2.48099270e-02 -3.22567900e-03 3.94779960e-03
